trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-161.4476484294559,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-31.526444893372364,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-147.23209822997782,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-3.399634544324753,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",35,0,-138.27748667456638,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,2,-63.50200460340835,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-91.21735095529036,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,5,-108.37679559273595,"{0: 5, 1: 5, 2: 3, 3: 1, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,7,-63.79379722416414,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-184.90221861342656,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,3.9708084575293325,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,15,-48.24251716726156,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",30,0,-50.552944949036075,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",30,0,-102.02869317056914,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,6,-121.47235295301712,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-43.45759115401185,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-3.054087680055737,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,11,19.383847995038423,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,9,-1.134314249961141,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,11,1.2658389925779763,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-49.924572794739866,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,14,-0.5756947448804546,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,11.089946242971639,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,0,-95.82680949394425,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,19,9.579650861224966,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,2.430533344920084,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,10,1.1823257106717302,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,19,5.490766143211228,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",30,15,10.807704214297662,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-77.99111462248823,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,6,-74.36330708328563,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,8,-37.48352475128063,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,12,-5.365033163018355,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,10,-14.740758411958048,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,8,-36.67120479733178,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",20,2,-9.100397472827568,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-39.93119927221994,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-32.35270771030876,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,1,-26.859905843366814,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,4,-8.550334731397157,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,8,-15.267105595029099,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,11,0.4533137166039558,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-69.07749021257737,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,2,-3.303906107118933,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,0,-40.119098246622336,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,14,12.452635944677883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-34.03132717958154,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,3,11.722254871330936,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,16,17.227522087856144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,17,-2.738246657927713,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,8,14.947883082133622,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-60.76425929546064,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,-64.64940353616429,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,6,-15.705529631391999,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,15,-2.0877032044748605,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,10,-7.298562656281691,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,13,-71.34086032004208,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,14,-31.407245370051783,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,-135.50640091491624,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,0,-21.83486399427938,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,20,-50.94198899277432,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",35,20,15.256242555891948,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,6,-7.602415189139148,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,12,1.4055725288304142,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,8,-88.84364428080185,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,17,15.168752912930735,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,10,-33.98722575642687,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,6,8.678949440392037,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
